id,name,reviews,rating,price_range,is_sponsored,latitude,longitude,has_delivery,is_premium,cuisines,diets,dining_options,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5
2239923,The Rising Sun,405,4.5,$$ - $$$,False,51.6271,-0.241701,True,False,"Italian, Fusion","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Gift Cards Available",14.0,23.0,24.0,71.0,273.0
23317408,MEATliquor W1,1781,3.5,$$ - $$$,False,51.5161,-0.14283,True,False,"American, Bar",,"Seating, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Non-smoking restaurants, Gift Cards Available",173.0,168.0,328.0,596.0,516.0
7621391,Mangia Bene,470,4.5,$$ - $$$,False,51.53308,-0.110172,False,False,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Tuscan, Romana, Lazio, Central-Italian, Southern-Italian","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",9.0,7.0,22.0,92.0,340.0
10081947,Six Portland Road,132,4.5,$$ - $$$,False,51.50719,-0.207972,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",2.0,7.0,7.0,26.0,90.0
1019294,North Pole Restaurant,548,4.5,$$ - $$$,False,51.476875,-0.016814,True,False,"Bar, Grill","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Reservations, Outdoor Seating, Private Dining, Seating, Television, Highchairs Available, Serves Alcohol, Full Bar, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",34.0,20.0,35.0,104.0,355.0
2330413,Song Hong,328,4.0,$,False,51.46439,-0.162884,True,False,Vietnamese,"Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Seating, Serves Alcohol, Wine and Beer, Table Service, Family style, Non-smoking restaurants",34.0,26.0,31.0,118.0,119.0
8023730,Peers' Dining Room at the House of Lords,51,4.5,$$$$,False,51.49896,-0.124403,False,False,British,"Vegetarian friendly, Vegan options","Reservations, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",1.0,0.0,0.0,9.0,41.0
4929050,Est. India,513,4.0,$$ - $$$,False,51.503925,-0.095166,True,False,"Indian, Asian","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Accepts Credit Cards, Table Service, Gift Cards Available",24.0,22.0,35.0,153.0,279.0
3801219,Princess of Wales,280,4.0,$$ - $$$,False,51.561893,-0.045803,False,False,"Bar, British, Pub, Gastropub","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",29.0,23.0,23.0,57.0,148.0
23041765,Rocca South Kensington,38,5.0,$$ - $$$,False,51.51545,-0.13631,False,False,"Italian, Mediterranean, Tuscan, Central-Italian","Vegetarian friendly, Vegan options","Takeout, Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",0.0,0.0,1.0,4.0,33.0
28032297,Ibai,24,4.5,$$$$,False,51.51777,-0.099026,False,False,Steakhouse,,"Reservations, Seating, Accepts Credit Cards, Table Service",0.0,0.0,4.0,5.0,15.0
2440764,The Prince Regent,299,4.0,$$ - $$$,False,51.521458,-0.152024,False,False,"Bar, International, British, Pub, Gastropub","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Buffet, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",22.0,25.0,37.0,83.0,132.0
13892626,24 The Oval,117,4.5,$$ - $$$,False,51.480637,-0.113932,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",5.0,2.0,4.0,16.0,90.0
3932437,Wolkite restaurant,529,4.5,$,False,51.556126,-0.110841,True,True,"African, Bar, Healthy, Ethiopian","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Playgrounds, Family style, Non-smoking restaurants",5.0,6.0,11.0,74.0,433.0
1718976,Babbo ,369,4.0,$$$$,False,51.50873,-0.141718,False,False,"Italian, Mediterranean, European",Vegetarian friendly,,20.0,30.0,41.0,67.0,211.0
27957014,Highroad Social,34,4.5,$$ - $$$,False,51.47945,-0.0097,False,False,"European, British, Wine Bar, Dining bars",Vegetarian friendly,"Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Non-smoking restaurants, Gift Cards Available",1.0,4.0,0.0,4.0,25.0
1014255,Boisdale Of Belgravia,1008,4.0,$$$$,False,51.49444,-0.148038,False,False,"British, Scottish","Vegetarian friendly, Gluten free options","Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Jazz Bar",80.0,77.0,126.0,296.0,429.0
785391,The Victoria,296,4.0,$$ - $$$,False,51.461086,-0.275628,False,False,Gastropub,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Playgrounds",20.0,39.0,35.0,57.0,145.0
10303148,The Ritz,37,4.5,$,False,51.493538,-0.243553,False,False,"Cafe, British",Vegetarian friendly,"Seating, Wheelchair Accessible, Table Service",0.0,0.0,2.0,8.0,27.0
15647711,The Park Restaurant,18,5.0,$$ - $$$,False,51.51186,-0.175629,False,False,"Bar, Pub",Vegan options,"Reservations, Buffet, Private Dining, Seating, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service",0.0,1.0,0.0,1.0,16.0
1018463,Souk,1486,3.5,$$ - $$$,False,51.514183,-0.12659,False,False,"African, Moroccan, Mediterranean, Middle Eastern","Vegetarian friendly, Vegan options, Halal, Gluten free options","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",184.0,143.0,199.0,398.0,562.0
24856443,Ochre,107,4.0,$$$$,False,51.508965,-0.127457,False,False,"French, International, British, Contemporary, Indigenous",Vegan options,"Reservations, Seating, Serves Alcohol, Full Bar, Table Service",7.0,14.0,13.0,20.0,53.0
13315724,Shoreditch fish and chips,98,4.5,$,False,51.524906,-0.072024,True,False,"Seafood, British",,"Takeout, Seating, Wheelchair Accessible, Table Service",6.0,5.0,4.0,19.0,64.0
2176042,Hiba Express,589,4.0,$$ - $$$,False,51.517742,-0.119755,True,False,"Lebanese, Mediterranean, Middle Eastern, Arabic","Vegetarian friendly, Vegan options, Halal, Gluten free options","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, BYOB, Family style, Non-smoking restaurants",40.0,27.0,49.0,128.0,345.0
3806905,All Bar One Holborn,525,4.5,$$ - $$$,False,51.51634,-0.119321,True,False,"Bar, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Gift Cards Available",26.0,24.0,44.0,112.0,319.0
26266827,Pavyllon London,54,4.5,$$$$,False,51.50417,-0.149947,False,False,"French, Bar, Pub",Vegetarian friendly,"Reservations, Private Dining, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Gift Cards Available",0.0,2.0,6.0,6.0,40.0
7605113,The Cocktail Trading Company,198,5.0,$$ - $$$,False,51.52453,-0.072593,False,False,Bar,,"Reservations, Seating, Serves Alcohol, Full Bar, Table Service, Live Music",2.0,1.0,2.0,16.0,177.0
2468128,Thali Restaurant,314,4.5,$$ - $$$,False,51.490864,-0.183583,False,False,"Indian, Asian","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",13.0,13.0,33.0,70.0,185.0
1117537,The Mulberry Bush,432,4.0,$$ - $$$,False,51.50723,-0.110382,False,False,"Bar, British, Pub","Vegetarian friendly, Gluten free options","Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",36.0,32.0,59.0,138.0,167.0
28897317,Fonda,5,5.0,,False,51.51123,-0.13952,False,False,Mexican,,,0.0,0.0,0.0,1.0,4.0
21397730,The Waterman's Arms,43,4.0,$$ - $$$,False,51.488632,-0.005792,True,False,"Bar, British, Pub, Gastropub",,"Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Mastercard, Visa, Accepts Credit Cards, Table Service, Live Music, Waterfront, Dog Friendly",4.0,5.0,5.0,5.0,24.0
17610608,Mezza Me,98,4.5,$$ - $$$,False,51.461555,-0.114434,True,False,"Lebanese, Mediterranean, Grill, Healthy, Street Food, Middle Eastern, Arabic","Vegetarian friendly, Vegan options, Halal","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Gift Cards Available",5.0,4.0,2.0,11.0,76.0
11876307,Sichuan Chef,138,4.5,$$ - $$$,False,51.493137,-0.193243,True,False,"Chinese, Asian, Szechuan","Vegetarian friendly, Vegan options","Delivery, Takeout, Reservations, Seating, Serves Alcohol, Table Service",10.0,4.0,5.0,34.0,85.0
20055394,Boxpark Shoreditch,672,4.0,$$ - $$$,False,51.52354,-0.075957,True,False,"Fast Food, Fusion, Street Food",,"Seating, Serves Alcohol, Wine and Beer, Digital Payments, Accepts Credit Cards, Live Music, Non-smoking restaurants, Sports bars",39.0,26.0,65.0,207.0,335.0
3981724,Little Portland Cafe,95,4.5,$,False,51.516983,-0.141992,False,False,"Cafe, British","Vegetarian friendly, Vegan options","Takeout, Seating, Table Service",1.0,2.0,3.0,19.0,70.0
20029368,Tavernaki Portobello,84,4.5,$$ - $$$,False,51.51705,-0.20575,False,False,"Mediterranean, Greek","Vegetarian friendly, Vegan options","Takeout, Reservations, Seating, Serves Alcohol, Table Service",4.0,2.0,4.0,8.0,66.0
789154,The Fulham Arms,391,4.0,$$ - $$$,False,51.47106,-0.187259,False,False,"Bar, British, Pub","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",38.0,34.0,26.0,84.0,209.0
